2023-02-08 17:17:42,604 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 3, 5... current info is hori_success:1, verti_success:5, norm_success5
2023-02-08 17:17:42,626 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 3, 6... current info is hori_success:1, verti_success:6, norm_success6
2023-02-08 17:17:42,645 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 3, 7... current info is hori_success:2, verti_success:7, norm_success7
2023-02-08 17:17:42,663 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 3, 8... current info is hori_success:2, verti_success:7, norm_success7
2023-02-08 17:17:42,677 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 3, 9... current info is hori_success:3, verti_success:8, norm_success8
2023-02-08 17:17:42,691 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:17:42,705 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 1... current info is hori_success:1, verti_success:1, norm_success1
2023-02-08 17:17:42,719 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 2... current info is hori_success:2, verti_success:2, norm_success2
2023-02-08 17:17:42,733 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 3... current info is hori_success:3, verti_success:3, norm_success3
2023-02-08 17:17:42,747 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 4... current info is hori_success:4, verti_success:4, norm_success4
2023-02-08 17:17:42,761 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 5... current info is hori_success:5, verti_success:5, norm_success5
2023-02-08 17:17:42,775 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 6... current info is hori_success:6, verti_success:6, norm_success6
2023-02-08 17:17:42,788 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 7... current info is hori_success:7, verti_success:7, norm_success7
2023-02-08 17:17:42,801 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 8... current info is hori_success:8, verti_success:8, norm_success8
2023-02-08 17:17:42,815 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 4, 9... current info is hori_success:9, verti_success:9, norm_success9
2023-02-08 17:17:42,829 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:17:42,842 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 1... current info is hori_success:1, verti_success:1, norm_success1
2023-02-08 17:17:42,855 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 2... current info is hori_success:2, verti_success:2, norm_success2
2023-02-08 17:17:42,869 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 3... current info is hori_success:3, verti_success:3, norm_success3
2023-02-08 17:17:42,883 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 4... current info is hori_success:4, verti_success:4, norm_success4
2023-02-08 17:17:42,897 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 5... current info is hori_success:5, verti_success:5, norm_success5
2023-02-08 17:17:42,912 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 6... current info is hori_success:6, verti_success:6, norm_success6
2023-02-08 17:17:42,927 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 7... current info is hori_success:7, verti_success:7, norm_success7
2023-02-08 17:17:42,941 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 8... current info is hori_success:8, verti_success:8, norm_success8
2023-02-08 17:17:42,955 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...4, 0.2, 5, 9... current info is hori_success:9, verti_success:9, norm_success9
2023-02-08 17:17:42,969 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:17:43,089 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 1... current info is hori_success:1, verti_success:1, norm_success1
2023-02-08 17:17:43,204 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 2... current info is hori_success:1, verti_success:2, norm_success2
2023-02-08 17:17:43,304 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 3, 3... current info is hori_success:2, verti_success:3, norm_success3
