2023-02-08 17:20:37,620 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:20:38,318 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 1... current info is hori_success:0, verti_success:1, norm_success1
2023-02-08 17:20:39,100 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 2... current info is hori_success:1, verti_success:1, norm_success2
2023-02-08 17:20:39,819 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 3... current info is hori_success:2, verti_success:1, norm_success3
2023-02-08 17:20:40,514 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 4... current info is hori_success:3, verti_success:2, norm_success4
2023-02-08 17:20:41,210 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 5... current info is hori_success:4, verti_success:2, norm_success5
2023-02-08 17:20:41,898 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 6... current info is hori_success:5, verti_success:3, norm_success6
2023-02-08 17:20:42,569 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 7... current info is hori_success:6, verti_success:3, norm_success7
2023-02-08 17:20:43,247 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 8... current info is hori_success:7, verti_success:4, norm_success8
2023-02-08 17:20:43,903 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 3, 9... current info is hori_success:8, verti_success:5, norm_success9
2023-02-08 17:20:44,574 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 4, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:20:45,242 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 4, 1... current info is hori_success:1, verti_success:1, norm_success1
2023-02-08 17:20:45,889 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 4, 2... current info is hori_success:1, verti_success:2, norm_success2
2023-02-08 17:20:46,547 - FibCodeLogs_2023-02-08 17:20:36.626581 - INFO - Running 0 run...16, 0.15, 4, 3... current info is hori_success:2, verti_success:2, norm_success3
